,Log_98,datetime
309,17.5225,2019-09-01 21:00:00
310,17.411,2019-09-01 22:00:00
311,17.363166666666668,2019-09-01 23:00:00
312,13.236833333333335,2020-09-01 00:00:00
313,12.963833333333334,2020-09-01 01:00:00
314,12.883166666666666,2020-09-01 02:00:00
315,12.819,2020-09-01 03:00:00
316,12.706166666666666,2020-09-01 04:00:00
317,12.577666666666666,2020-09-01 05:00:00
318,12.013,2020-09-01 06:00:00
319,11.446833333333332,2020-09-01 07:00:00
320,13.074833333333332,2020-09-01 08:00:00
321,14.453166666666666,2020-09-01 09:00:00
322,14.82,2020-09-01 10:00:00
323,16.046,2020-09-01 11:00:00
324,16.53833333333333,2020-09-01 12:00:00
325,18.1245,2020-09-01 13:00:00
326,18.647666666666666,2020-09-01 14:00:00
327,18.3305,2020-09-01 15:00:00
328,19.7735,2020-09-01 16:00:00
329,19.392833333333332,2020-09-01 17:00:00
330,18.710833333333333,2020-09-01 18:00:00
331,17.379166666666666,2020-09-01 19:00:00
332,15.1865,2020-09-01 20:00:00
333,13.845666666666666,2020-09-01 21:00:00
334,12.593333333333334,2020-09-01 22:00:00
335,11.1225,2020-09-01 23:00:00
336,12.626,2021-09-01 00:00:00
337,12.158500000000002,2021-09-01 01:00:00
338,11.899833333333333,2021-09-01 02:00:00
339,11.7705,2021-09-01 03:00:00
340,12.013,2021-09-01 04:00:00
341,11.916000000000002,2021-09-01 05:00:00
342,11.446833333333332,2021-09-01 06:00:00
343,11.365833333333333,2021-09-01 07:00:00
344,12.593666666666666,2021-09-01 08:00:00
345,14.1015,2021-09-01 09:00:00
346,16.204333333333334,2021-09-01 10:00:00
347,17.633166666666668,2021-09-01 11:00:00
348,19.075833333333332,2021-09-01 12:00:00
349,20.487666666666666,2021-09-01 13:00:00
350,21.393833333333333,2021-09-01 14:00:00
351,21.998666666666665,2021-09-01 15:00:00
352,22.206,2021-09-01 16:00:00
353,22.046499999999998,2021-09-01 17:00:00
354,21.2345,2021-09-01 18:00:00
355,19.932333333333332,2021-09-01 19:00:00
356,17.680666666666667,2021-09-01 20:00:00
357,16.173,2021-09-01 21:00:00
358,14.883833333333333,2021-09-01 22:00:00
359,14.053833333333335,2021-09-01 23:00:00
360,14.660499999999999,2022-09-01 00:00:00
361,14.485,2022-09-01 01:00:00
362,14.053833333333335,2022-09-01 02:00:00
363,13.829833333333333,2022-09-01 03:00:00
364,13.092333333333334,2022-09-01 04:00:00
365,13.477333333333334,2022-09-01 05:00:00
366,13.509500000000001,2022-09-01 06:00:00
367,13.397166666666665,2022-09-01 07:00:00
368,14.069833333333333,2022-09-01 08:00:00
369,15.743166666666667,2022-09-01 09:00:00
370,17.315833333333334,2022-09-01 10:00:00
371,18.409833333333335,2022-09-01 11:00:00
372,19.504,2022-09-01 12:00:00
373,20.662499999999998,2022-09-01 13:00:00
374,21.505166666666668,2022-09-01 14:00:00
375,21.998499999999996,2022-09-01 15:00:00
376,22.206,2022-09-01 16:00:00
377,21.314166666666665,2022-09-01 17:00:00
378,21.218666666666667,2022-09-01 18:00:00
379,19.773666666666667,2022-09-01 19:00:00
380,18.045166666666667,2022-09-01 20:00:00
381,16.427166666666665,2022-09-01 21:00:00
382,15.521,2022-09-01 22:00:00
383,14.133000000000001,2022-09-01 23:00:00
384,14.1975,2019-06-02 00:00:00
385,13.140666666666666,2019-06-02 01:00:00
386,12.963333333333333,2019-06-02 02:00:00
387,12.093499999999999,2019-06-02 03:00:00
388,11.4955,2019-06-02 04:00:00
389,10.8135,2019-06-02 05:00:00
390,11.218499999999999,2019-06-02 06:00:00
391,14.356666666666667,2019-06-02 07:00:00
392,17.934,2019-06-02 08:00:00
393,20.44033333333333,2019-06-02 09:00:00
394,22.3175,2019-06-02 10:00:00
395,23.500500000000002,2019-06-02 11:00:00
396,25.060666666666666,2019-06-02 12:00:00
397,26.3905,2019-06-02 13:00:00
398,27.239500000000003,2019-06-02 14:00:00
399,28.093166666666665,2019-06-02 15:00:00
400,28.654666666666667,2019-06-02 16:00:00
401,28.687833333333334,2019-06-02 17:00:00
402,28.655,2019-06-02 18:00:00
403,27.747833333333332,2019-06-02 19:00:00
404,26.504833333333334,2019-06-02 20:00:00
405,21.635166666666667,2019-06-02 21:00:00
406,19.155166666666666,2019-06-02 22:00:00
407,17.997666666666667,2019-06-02 23:00:00
408,12.577166666666665,2020-06-02 00:00:00
409,11.915999999999999,2020-06-02 01:00:00
410,11.040166666666666,2020-06-02 02:00:00
411,9.554166666666667,2020-06-02 03:00:00
412,10.177,2020-06-02 04:00:00
413,9.191333333333333,2020-06-02 05:00:00
414,9.730833333333333,2020-06-02 06:00:00
415,13.891833333333333,2020-06-02 07:00:00
416,17.664166666666663,2020-06-02 08:00:00
417,19.313333333333333,2020-06-02 09:00:00
418,20.551333333333332,2020-06-02 10:00:00
419,21.505,2020-06-02 11:00:00
420,22.860500000000002,2020-06-02 12:00:00
421,23.708833333333335,2020-06-02 13:00:00
422,24.576833333333337,2020-06-02 14:00:00
423,25.173666666666666,2020-06-02 15:00:00
424,25.610333333333333,2020-06-02 16:00:00
425,25.642666666666667,2020-06-02 17:00:00
426,25.383666666666667,2020-06-02 18:00:00
427,24.866833333333332,2020-06-02 19:00:00
428,23.261166666666668,2020-06-02 20:00:00
429,18.188166666666667,2020-06-02 21:00:00
430,14.9315,2020-06-02 22:00:00
